ssid,bssid,encryption,vendor,longitude,latitude
o2-WLAN68,18:83:bf:b1:83:3c,[WPA2-PSK-CCMP-preauth][WPS][ESS],Arcadyan Technology Corporation,8.65102843434768,49.8625355302079
WLAN-326854,4c:09:d4:eb:d8:97,"",Arcadyan Technology Corporation,8.6353365,49.8689906
h_da,ac:4b:c8:05:65:83,"",Juniper Networks,8.642991,49.8662788
UPC1676894,c4:27:95:75:21:e6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Technicolor CH USA Inc.,8.65605242641312,49.8606572876556
Telekom_FON,4c:09:d4:81:7b:c2,"",Arcadyan Technology Corporation,8.66289046393042,49.8747245913629
Dachgarten16,94:44:52:4e:dc:3a,"",Belkin International Inc.,8.668026,49.89038
FRITZ!Box 7362 SL,34:31:c4:21:d3:2d,"",AVM GmbH,8.661223,49.881999
Mamak-Wlan,e8:ab:fa:80:93:ce,"",Shenzhen Reecam Tech.Ltd.,8.670327,49.881523
Gastzugang,4c:09:d4:be:db:dd,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Arcadyan Technology Corporation,8.66314032746817,49.8667725945029
VAIO-KP46FP,d0:ae:ec:bf:a2:d8,"",Alpha Networks Inc.,8.656736,49.879187
PS4-B5865A660C91,b0:05:94:81:d5:47,"",Liteon Technology Corporation,8.6665888,49.8695366
NB2,c0:25:06:26:80:d4,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.66324366961785,49.8589702337711
TP-LINK_M7350_6D2421,3c:46:d8:6d:24:21,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.660133,49.875703
mopazo,84:9c:a6:0c:08:bf,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-p,Arcadyan Technology Corporation,8.64447249583777,49.8606829819267
UPC5576238,b0:c2:87:83:4a:a7,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Technicolor CH USA Inc.,8.65618412128135,49.8673637324946
h_da,00:0b:0e:9f:7e:02,"",Trapeze Networks,8.635923,49.8672565
EasyBox-B52D14,74:31:70:b5:2d:40,"",Arcadyan Technology Corporation,8.648232,49.8724403
calihauenst,94:4a:0c:3a:8a:fc,"",Sercomm Corporation,8.6718178,49.8702494
EasyBox-FA6428,5c:dc:96:fa:64:b0,"",Arcadyan Technology Corporation,8.67843212818283,49.8726682110655
WLAN-83AD28,9c:80:df:83:ad:30,"",Arcadyan Technology Corporation,8.6696081,49.868892
ALICE-WLAN88,88:03:55:1a:ed:06,"",Arcadyan Technology Corporation,8.6410529,49.862741
TUDWeb,00:26:99:50:0b:cd,[ESS],"Cisco Systems, Inc",8.65492058360961,49.8777592614081
o2-WLAN18,e8:37:7a:b7:b3:b3,[WPA2-PSK-CCMP][WPS][ESS],ZyXEL Communications Corporation,8.65367546583125,49.8687948259902
UPC1820218,c4:27:95:84:0b:33,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],Technicolor CH USA Inc.,8.66143597478471,49.8770999078877
SPP-AP,00:a0:57:1c:38:6a,"",LANCOM Systems GmbH,8.6328578,49.8713036
FRITZ!Box 7362 SL,34:31:c4:e8:dd:e2,[WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.65872304171888,49.8646556410768
EasyBox-901699,94:4a:0c:9f:e1:06,"",Sercomm Corporation,8.6558786,49.8706372
WLAN-247480,00:0e:8f:2b:cb:85,[WPA2-PSK-CCMP][WPS][ESS],Sercomm Corp.,8.64509659770523,49.8859085504796
Ko-Green,5c:49:79:99:72:7c,[WPA2-PSK-CCMP][WPS][ESS],AVM Audiovisuelles Marketing und Computersysteme GmbH,8.63099632470058,49.8847991025772
devolo-bcf2afd2fac6,bc:f2:af:d2:fa:c6,"",devolo AG,8.6418787,49.8632806
eduroam,20:4c:9e:a2:ed:63,[WPA2-EAP-CCMP][ESS],"Cisco Systems, Inc",8.65787572947878,49.8728688578724
SKLSwlan13,9c:c7:a6:d2:a4:71,"",AVM GmbH,8.6418974,49.8755787
0815lan,c4:27:95:bc:88:57,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],Technicolor CH USA Inc.,8.65631665766723,49.8834754175498
WULF_77,90:ef:68:a0:68:5f,"",ZyXEL Communications Corporation,8.634331,49.8683906
sit-wlan,1c:1d:86:06:74:17,"","Cisco Systems, Inc",8.638944,49.871498
WLAN-GWH5,74:31:70:1f:19:d1,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.64973749963933,49.8631831167582
bq_2,08:96:d7:0d:b7:ec,"",AVM GmbH,8.6430639,49.8713229
WLAN-956984,d4:21:22:8a:c4:cd,"",Sercomm Corporation,8.659183,49.882214
Lernfix,e8:37:7a:58:0f:7b,"",ZyXEL Communications Corporation,8.661307,49.881775
TP-LINK_B2D31C,5c:63:bf:b2:d3:1c,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.669515,49.882712
TP-LINK_BBE3A2,e8:de:27:bb:e3:a2,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.67889806255979,49.861882566755
Hormesis,48:ee:0c:43:25:f2,"",D-Link International,8.6347938,49.8695387
Dimon,00:15:0c:b3:30:72,"",AVM GmbH,8.6696081,49.868892
eduroam,1c:1d:86:06:6e:1d,"","Cisco Systems, Inc",8.638292,49.87194
